id,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
35,Y?an,805.0,France,Female,45.0,4,0.0,2,1.0,0.0,77135.48,0
37,Chukwumaobim,756.0,Germany,Male,56.0,5,143222.9,2,1.0,0.0,60070.51,0
38,Uspenskaya,634.0,France,Male,36.0,2,0.0,2,1.0,0.0,126179.68,0
39,Macleod,666.0,Germany,Female,29.0,4,130281.25,2,1.0,0.0,,0
42,Eluemuno,697.0,Spain,Female,36.0,5,187378.36,1,1.0,0.0,186480.51,0
43,Johnston,571.0,France,Female,50.0,4,0.0,1,1.0,0.0,145689.99,1
44,T'ao,591.0,France,Male,38.0,3,0.0,1,1.0,0.0,78491.22,0
45,Y?an,712.0,Germany,Female,33.0,10,133198.77,2,1.0,1.0,123737.67,0
47,Clark,697.0,France,Female,36.0,4,128990.57,1,1.0,0.0,74696.35,0
49,Galkin,667.0,France,Male,41.0,6,0.0,2,1.0,1.0,171326.29,0
50,Kung,688.0,Spain,Female,35.0,6,0.0,2,1.0,1.0,25358.3,0
53,Milne,597.0,France,Female,28.0,4,153560.85,1,0.0,1.0,,0
55,Whitehead,689.0,France,Female,32.0,4,0.0,2,0.0,0.0,109829.55,0
56,Fleming,462.0,France,Male,27.0,4,176664.15,1,1.0,1.0,80775.62,0
57,Ts'ui,580.0,France,Male,65.0,9,107194.92,3,1.0,0.0,107891.93,1
58,Olisanugo,,Germany,Male,40.0,9,157040.86,1,0.0,1.0,150073.28,0
59,Fanucci,850.0,Spain,Female,43.0,5,126351.98,1,1.0,1.0,68018.54,0
60,Ch'ien,648.0,France,Female,35.0,5,121492.77,1,0.0,0.0,88935.62,0
62,Ejimofor,681.0,Spain,Female,38.0,9,0.0,1,0.0,0.0,130868.45,1
63,Trevisan,684.0,France,Female,38.0,8,0.0,1,1.0,0.0,50234.33,1
64,O'Brien,595.0,Germany,Female,40.0,5,106846.58,2,0.0,1.0,176936.82,0
65,Johnson,511.0,Germany,Male,58.0,0,149430.05,1,1.0,1.0,161967.64,0
67,Chukwualuka,683.0,Germany,Male,45.0,6,91819.31,1,1.0,0.0,,0
68,Black,652.0,Spain,Male,39.0,8,0.0,2,1.0,0.0,64112.13,0
71,Uspenskaya,616.0,France,Male,35.0,3,0.0,2,1.0,1.0,127152.68,0
72,Napolitani,699.0,France,Female,37.0,3,0.0,1,1.0,0.0,,0
73,Ch'in,511.0,France,Male,32.0,8,0.0,1,1.0,0.0,156413.84,0
75,Kung,712.0,France,Male,29.0,1,141461.71,1,1.0,1.0,93449.0,0
76,Nkemakolam,613.0,France,Male,35.0,10,0.0,2,1.0,1.0,54677.72,0
78,Chidumaga,596.0,France,Male,62.0,7,0.0,2,0.0,1.0,49909.13,0
79,Iadanza,749.0,Germany,Female,54.0,10,106662.52,1,1.0,0.0,139955.43,1
82,Pirozzi,615.0,Spain,Male,50.0,2,0.0,1,1.0,0.0,,0
83,Milani,781.0,France,Female,42.0,8,0.0,2,0.0,0.0,183466.26,0
84,Jackson,717.0,France,Female,59.0,9,0.0,2,1.0,1.0,170519.26,0
86,Chinwendu,769.0,France,Female,35.0,5,163865.33,1,1.0,1.0,167910.55,0
87,Chukwualuka,583.0,France,Male,41.0,0,0.0,1,1.0,0.0,4022.11,1
89,Manna,707.0,France,Male,38.0,4,0.0,3,1.0,1.0,93770.5,1
91,Cawthorne,576.0,Spain,Male,33.0,5,124274.28,3,0.0,0.0,47555.18,1
93,Scott,590.0,France,Male,43.0,1,134058.14,2,1.0,1.0,129872.44,0
94,Iweobiegbunam,559.0,Germany,Male,45.0,6,136003.5,1,1.0,0.0,153965.48,1
95,Mamelu,648.0,Germany,Female,52.0,9,125532.33,1,1.0,1.0,79736.41,0
96,K?,537.0,Germany,Male,40.0,4,134921.46,1,1.0,0.0,,0
98,Chukwufumnanya,637.0,France,Female,34.0,2,0.0,2,1.0,1.0,1703.78,0
101,Obiora,717.0,France,Female,28.0,7,0.0,1,1.0,0.0,168904.0,0
102,Ozioma,614.0,France,Female,60.0,5,0.0,1,1.0,0.0,,1
103,Ch'ien,684.0,Germany,Female,43.0,1,122657.32,1,1.0,1.0,71236.6,1
105,Thompson,678.0,France,Female,41.0,9,0.0,3,0.0,0.0,68231.0,1
108,Schnaars,634.0,Spain,Male,29.0,3,0.0,2,0.0,1.0,161929.73,0
110,T'ien,507.0,France,Female,46.0,3,0.0,1,0.0,0.0,92243.39,1
115,Jose,573.0,Germany,Female,44.0,7,152593.91,1,1.0,0.0,164166.61,1
116,Walker,613.0,France,Male,28.0,4,123585.83,1,1.0,0.0,74707.68,0
117,Ebelegbulam,645.0,Spain,Male,30.0,7,0.0,2,1.0,1.0,101528.77,0
118,Fennell,613.0,France,Female,37.0,3,0.0,2,1.0,1.0,73998.57,0
119,Chukwufumnanya,829.0,France,Male,24.0,7,0.0,2,0.0,0.0,,0
120,Cox,671.0,France,Male,31.0,1,141410.68,2,1.0,1.0,141658.82,0
121,Tran,641.0,France,Male,29.0,5,0.0,2,1.0,0.0,122245.22,0
122,Kang,659.0,France,Male,29.0,1,0.0,2,1.0,1.0,142256.33,0
123,Hsiung,537.0,Germany,Male,42.0,6,140254.58,2,1.0,0.0,177981.4,0
124,Lord,730.0,Spain,Male,34.0,2,127572.92,1,1.0,0.0,154724.19,0
125,Gibbs,777.0,France,Male,29.0,9,131418.6,1,1.0,1.0,163937.48,0
127,Ozioma,714.0,France,Male,29.0,5,141782.43,1,1.0,0.0,,0
128,Clements,604.0,Spain,Female,29.0,6,0.0,2,1.0,0.0,,0
129,Siciliani,484.0,France,Male,33.0,0,149015.9,1,0.0,1.0,42633.09,0
131,Chidozie,729.0,France,Female,35.0,3,0.0,1,1.0,1.0,45446.2,0
132,Ting,707.0,France,Female,34.0,7,0.0,2,1.0,1.0,131130.04,0
133,Nwabugwu,581.0,France,Male,33.0,1,99846.81,1,1.0,1.0,91754.68,0
134,Norman,578.0,Spain,Male,49.0,5,164888.82,1,1.0,1.0,132266.94,0
135,Fang,850.0,Spain,Female,39.0,5,0.0,2,0.0,0.0,102643.1,0
136,Maclean,844.0,France,Female,29.0,4,137253.77,1,1.0,1.0,37109.62,0
139,Cremonesi,751.0,Spain,Female,34.0,3,134907.93,1,1.0,0.0,166592.2,0
140,Pinto,591.0,Spain,Female,42.0,1,0.0,1,1.0,0.0,179794.54,1
143,Pagnotto,598.0,Germany,Female,33.0,7,120987.06,1,1.0,1.0,177590.54,0
144,Fiorentini,651.0,France,Female,31.0,6,52456.79,1,1.0,1.0,112374.62,0
145,Udegbulam,687.0,Spain,Male,35.0,4,0.0,2,1.0,1.0,143863.47,0
146,Tung,606.0,Germany,Female,41.0,3,108014.15,1,1.0,1.0,144743.71,1
148,Hsia,537.0,France,Female,36.0,8,0.0,1,1.0,1.0,16298.76,0
149,Chiu,545.0,Spain,Male,49.0,9,100031.62,1,1.0,0.0,173965.37,1
150,Chibueze,627.0,France,Male,40.0,6,117705.68,1,1.0,1.0,65556.73,0
151,Yuryeva,621.0,Germany,Male,34.0,3,156588.46,2,0.0,1.0,76993.38,0
152,Kornilova,679.0,France,Male,46.0,2,0.0,1,1.0,1.0,123122.86,1
153,Hsiung,594.0,France,Male,22.0,6,145404.62,1,0.0,1.0,102574.66,0
155,Hs?,687.0,France,Male,24.0,10,110987.17,1,1.0,0.0,156661.41,0
156,Y?an,712.0,France,Male,37.0,5,0.0,2,1.0,0.0,152845.83,0
157,T'ien,646.0,France,Female,32.0,3,0.0,2,1.0,1.0,,0
158,Hargraves,775.0,Spain,Male,37.0,6,0.0,2,1.0,0.0,172616.36,0
159,Eremenko,695.0,Germany,Female,32.0,5,164464.14,2,1.0,1.0,152509.35,0
160,Fomin,727.0,Spain,Male,28.0,2,0.0,2,1.0,1.0,159847.96,0
161,Lucchesi,784.0,France,Male,24.0,5,0.0,2,1.0,0.0,,0
164,Scott,,France,Male,39.0,5,150423.64,1,1.0,0.0,124590.43,0
165,Tien,635.0,Germany,Male,36.0,2,155738.92,2,1.0,0.0,162934.84,0
166,Chidimma,741.0,France,Male,38.0,1,99657.09,1,1.0,1.0,129567.5,0
167,Onochie,710.0,France,Female,34.0,3,0.0,2,1.0,0.0,92912.98,0
168,Boan,700.0,France,Male,44.0,9,0.0,2,1.0,1.0,142611.58,0
170,Nnaife,714.0,France,Female,40.0,9,0.0,1,1.0,1.0,126945.6,1
171,Chidozie,625.0,France,Female,26.0,4,153451.44,1,1.0,0.0,96205.05,0
172,Pinto,699.0,France,Female,32.0,8,0.0,2,1.0,1.0,137648.59,0
173,Thompson,595.0,Germany,Female,36.0,0,150550.98,2,0.0,1.0,,0
174,Mazzi,640.0,Spain,Female,64.0,9,0.0,1,1.0,0.0,134767.33,1
176,Hsia,,Germany,Female,42.0,3,122150.48,1,1.0,0.0,122669.94,1
177,Mazzi,577.0,Germany,Male,41.0,1,131795.44,2,1.0,0.0,93670.97,1
178,Nkemakonam,678.0,France,Female,29.0,4,0.0,2,0.0,0.0,,0
181,T'ao,684.0,France,Male,60.0,7,0.0,1,1.0,1.0,163722.6,1
182,Ts'ui,682.0,France,Female,41.0,6,135915.21,1,1.0,0.0,170969.02,0
183,Achebe,663.0,Spain,Female,41.0,4,104134.39,1,1.0,0.0,180843.6,0
185,Mancini,732.0,Germany,Male,28.0,8,116265.98,2,1.0,0.0,,1
186,Milanesi,792.0,France,Male,67.0,5,0.0,2,1.0,1.0,83148.15,0
188,Y?,520.0,France,Male,31.0,7,104795.37,1,0.0,1.0,99643.54,0
190,H?,712.0,Germany,Female,34.0,0,119257.8,2,1.0,1.0,107321.15,0
192,Chuang,678.0,Germany,Female,36.0,7,124321.59,2,0.0,1.0,175263.01,0
194,Arcuri,612.0,France,Female,36.0,2,130556.98,2,0.0,0.0,77482.44,0
195,Mancini,703.0,Spain,Female,62.0,8,115650.33,3,1.0,0.0,182554.05,1
196,Tuan,687.0,France,Female,28.0,6,0.0,1,1.0,0.0,148602.29,0
197,Ngozichukwuka,,France,Male,31.0,1,0.0,2,1.0,1.0,160330.06,0
198,T'ien,622.0,France,Male,36.0,5,0.0,2,0.0,0.0,104984.99,0
200,Ts'ui,630.0,Germany,Male,44.0,6,104865.87,1,0.0,1.0,,1
201,Nnachetam,691.0,Spain,Male,34.0,10,0.0,2,0.0,1.0,79140.53,0
203,Hs?,724.0,Spain,Female,40.0,8,0.0,2,1.0,1.0,120069.13,0
204,Gartrell,592.0,Spain,Female,40.0,4,0.0,2,0.0,0.0,,0
205,Nkemakolam,,France,Male,54.0,3,0.0,2,1.0,1.0,182742.28,0
207,H?,691.0,France,Male,38.0,8,0.0,2,1.0,0.0,172322.82,0
211,Nwachinemelu,593.0,France,Male,38.0,7,0.0,2,0.0,1.0,81196.21,0
212,Ch'iu,682.0,Spain,Female,44.0,5,133669.65,1,1.0,1.0,143655.99,0
213,Onwuamaeze,651.0,France,Female,48.0,7,0.0,2,0.0,0.0,,0
214,Boyle,557.0,Germany,Male,40.0,4,99255.07,1,0.0,0.0,134175.78,0
215,Higgins,562.0,France,Male,42.0,2,100298.07,1,0.0,1.0,86863.47,0
216,Chukwualuka,681.0,France,Male,32.0,5,0.0,2,1.0,0.0,6755.05,0
217,Obialo,659.0,France,Male,27.0,5,133396.29,1,1.0,1.0,145606.84,0
218,Kennedy,720.0,France,Male,41.0,7,0.0,1,1.0,1.0,144813.12,1
219,Udinesi,712.0,France,Male,34.0,3,0.0,2,1.0,0.0,151438.88,0
220,Onwubiko,745.0,France,Female,32.0,7,0.0,2,1.0,1.0,141529.08,0
221,Burke,566.0,France,Male,36.0,5,0.0,1,1.0,0.0,55101.94,0
223,Hs?,833.0,Spain,Male,35.0,1,121648.15,1,1.0,0.0,,0
224,Tuan,676.0,France,Male,37.0,3,0.0,2,1.0,0.0,67803.02,0
225,Hs?,,France,Male,26.0,7,96027.96,2,0.0,1.0,49876.88,0
228,Lai,545.0,Spain,Male,46.0,4,0.0,2,1.0,1.0,100874.56,0
229,T'ien,712.0,France,Male,34.0,8,0.0,2,1.0,1.0,159988.91,0
230,Hsiung,645.0,France,Male,39.0,4,119680.34,1,0.0,0.0,130189.09,0
231,Ojiofor,721.0,France,Female,33.0,1,0.0,2,1.0,1.0,57544.62,0
232,Pagnotto,592.0,France,Female,40.0,1,0.0,1,1.0,1.0,128956.08,1
233,Sagese,724.0,France,Female,40.0,1,0.0,1,1.0,0.0,73564.04,1
234,Hargreaves,659.0,France,Female,37.0,2,0.0,2,1.0,0.0,116565.7,0
235,P'eng,693.0,Spain,Female,33.0,2,0.0,2,1.0,1.0,137098.03,0
236,Hsueh,705.0,Spain,Female,33.0,8,0.0,1,1.0,0.0,,1
237,Chijindum,587.0,France,Male,54.0,7,128626.32,1,1.0,0.0,191475.87,1
238,Walker,766.0,France,Female,40.0,3,61289.29,1,0.0,0.0,163608.56,0
239,McEncroe,628.0,Spain,Female,28.0,1,0.0,1,1.0,0.0,11252.42,0
240,Cocci,711.0,France,Male,40.0,9,0.0,1,0.0,0.0,151491.05,0
241,Hsiao,584.0,France,Male,35.0,1,0.0,1,1.0,1.0,104185.08,1
242,Chukwudi,696.0,Spain,Male,41.0,1,144170.05,1,1.0,0.0,80840.27,1
249,Nwankwo,641.0,France,Male,38.0,4,0.0,2,1.0,0.0,83821.13,0
250,Bellucci,727.0,Spain,Female,35.0,6,0.0,2,0.0,1.0,46814.76,0
252,Kincaid,689.0,France,Female,39.0,9,90317.18,2,0.0,1.0,114499.08,0
254,Palermo,714.0,Spain,Male,43.0,3,112026.35,1,1.0,1.0,172210.48,0
256,Udinese,606.0,Germany,Male,27.0,9,138169.5,2,0.0,0.0,141911.82,0
257,Yobachukwu,,Spain,Male,33.0,1,0.0,2,0.0,1.0,140996.27,0
258,Toscani,678.0,France,Male,32.0,3,0.0,2,1.0,1.0,29599.38,0
259,Mazzanti,753.0,France,Male,32.0,8,0.0,2,1.0,1.0,181048.44,0
261,Smith,684.0,France,Male,40.0,9,0.0,2,1.0,0.0,,0
262,Tien,582.0,France,Male,20.0,2,0.0,2,1.0,1.0,55774.05,0
265,Ponomaryov,648.0,Germany,Male,43.0,1,107923.02,1,0.0,0.0,186254.23,0
267,White,707.0,Spain,Female,45.0,8,71027.04,1,1.0,1.0,113655.82,0
270,Nicholls,635.0,Spain,Female,32.0,8,0.0,2,1.0,1.0,19396.18,0
271,Okonkwo,607.0,France,Female,33.0,0,91200.15,1,1.0,0.0,101173.94,0
273,Hsia,527.0,Germany,Female,37.0,1,104623.71,2,1.0,1.0,182695.93,0
274,Hsueh,646.0,Spain,Male,34.0,3,0.0,2,1.0,1.0,138848.8,0
275,Udokamma,691.0,Spain,Female,45.0,7,0.0,2,0.0,1.0,151006.97,0
276,McGregor,512.0,France,Male,38.0,6,153418.82,2,0.0,1.0,23147.48,0
279,L?,728.0,Germany,Male,35.0,9,106527.41,2,1.0,1.0,65601.38,0
280,Biryukov,731.0,France,Female,35.0,7,0.0,2,1.0,0.0,97441.88,0
281,Macleod,574.0,Spain,Male,31.0,7,141212.27,1,1.0,1.0,178799.74,0
282,Chiganu,693.0,Germany,Male,23.0,7,172206.58,1,1.0,0.0,136107.91,1
283,Lucciano,,France,Female,33.0,9,104321.39,2,1.0,0.0,120632.11,1
285,Okwudilichukwu,699.0,Spain,Male,21.0,1,0.0,2,1.0,1.0,158055.8,0
286,Oguejiofor,722.0,Spain,Male,60.0,9,171355.96,1,0.0,0.0,,0
287,Yermakova,709.0,Spain,Male,60.0,7,137390.7,1,0.0,1.0,107698.54,1
288,Chambers,773.0,Spain,Male,51.0,4,0.0,2,0.0,0.0,123952.51,0
289,Mahmood,738.0,France,Male,22.0,10,0.0,2,1.0,1.0,104635.86,0
291,Hs?,751.0,France,Female,46.0,7,0.0,1,1.0,0.0,142967.84,1
293,Ts'ai,662.0,Spain,Male,38.0,9,0.0,2,1.0,0.0,64309.69,0
294,Iweobiegbunam,684.0,Spain,Female,37.0,2,102700.24,2,1.0,0.0,,0
295,Ch'ang,710.0,Germany,Female,46.0,9,130361.1,1,0.0,0.0,131428.51,1
300,O'Toole,730.0,France,Male,34.0,1,0.0,2,0.0,0.0,141153.77,0
301,H?,530.0,France,Female,31.0,1,0.0,1,0.0,0.0,104097.16,0
303,Palermo,693.0,Spain,Female,41.0,7,0.0,2,1.0,1.0,89686.32,0
304,Nkemakolam,668.0,Germany,Female,51.0,2,102678.04,1,1.0,1.0,78069.69,1
306,Hsia,757.0,France,Female,31.0,1,0.0,2,1.0,0.0,128868.28,0
307,Onwubiko,677.0,France,Male,33.0,2,0.0,2,1.0,1.0,159262.42,0
308,Hsing,703.0,France,Male,30.0,8,98653.07,1,1.0,1.0,124609.42,0
310,Onyemauchechukwu,718.0,France,Female,35.0,4,156845.36,1,0.0,1.0,160890.91,0
312,Nwachukwu,656.0,France,Female,40.0,3,0.0,1,1.0,1.0,94580.98,1
314,Palermo,667.0,Spain,Female,36.0,7,96008.61,1,1.0,0.0,45512.87,0
315,Landseer,513.0,Spain,Male,41.0,1,0.0,1,0.0,0.0,99642.54,1
316,Pirozzi,,France,Male,30.0,4,0.0,2,1.0,0.0,49745.86,0
318,Smith,697.0,France,Female,38.0,1,0.0,2,1.0,1.0,,0
319,Milne,742.0,Germany,Male,33.0,7,137750.06,2,1.0,1.0,,0
320,French,543.0,France,Female,32.0,5,147108.32,1,1.0,0.0,112883.3,0
322,Genovesi,,France,Female,43.0,3,0.0,2,1.0,1.0,71069.27,0
324,Dahlenburg,643.0,Germany,Female,39.0,6,118872.09,3,1.0,0.0,60777.29,1
327,Chiwetelu,695.0,Spain,Male,36.0,6,99592.01,2,0.0,0.0,184765.79,0
329,Su,658.0,Germany,Male,43.0,2,133953.07,1,1.0,0.0,50449.79,1
330,Macdonald,598.0,France,Female,31.0,7,0.0,2,1.0,0.0,142197.59,0
331,Wollstonecraft,730.0,Spain,Female,53.0,5,111165.22,1,1.0,1.0,121677.28,0
333,P'an,593.0,France,Male,31.0,0,160991.68,2,1.0,1.0,65642.57,0
334,Yefremova,,Spain,Male,27.0,2,0.0,2,1.0,0.0,945.42,0
335,Onyinyechukwuka,663.0,France,Female,33.0,9,0.0,2,1.0,1.0,157087.3,0
336,Hsieh,711.0,France,Female,49.0,1,0.0,1,1.0,1.0,,1
338,Pagnotto,732.0,Germany,Female,46.0,9,129837.52,1,1.0,0.0,,1
339,Ch'ang,753.0,Spain,Male,45.0,1,0.0,2,1.0,1.0,26436.75,0
340,Shao,741.0,France,Female,33.0,1,0.0,2,0.0,1.0,36605.32,0
341,Yobachi,596.0,Germany,Male,36.0,6,115316.21,1,0.0,1.0,72711.57,0
342,Hsia,535.0,France,Male,29.0,8,0.0,2,1.0,1.0,61821.23,0
343,Bulgakov,706.0,France,Female,48.0,8,141550.91,4,1.0,0.0,32745.47,1
344,Hs?eh,712.0,France,Female,38.0,7,0.0,2,1.0,1.0,28457.73,0
345,Maclean,635.0,Spain,Female,27.0,4,127352.61,1,1.0,1.0,152915.82,0
348,Hsia,689.0,France,Male,35.0,1,0.0,2,0.0,1.0,170631.15,0
349,Onwuamaeze,774.0,Germany,Female,36.0,5,126727.52,2,1.0,0.0,87716.64,0
350,McElhone,,France,Male,31.0,8,0.0,1,1.0,1.0,12236.86,0
351,Pinto,581.0,Germany,Female,49.0,7,120542.19,1,1.0,0.0,,1
352,Chiawuotu,586.0,Spain,Male,40.0,9,91850.3,1,1.0,0.0,,0
354,Mironova,643.0,France,Female,31.0,8,121455.13,1,1.0,0.0,146640.85,0
355,Genovese,694.0,France,Female,37.0,2,0.0,2,1.0,0.0,,0
356,Fang,,Spain,Male,29.0,9,0.0,1,1.0,0.0,,0
357,Smith,645.0,France,Male,39.0,9,143394.99,1,1.0,1.0,139783.68,0
359,K'ung,686.0,Spain,Female,38.0,6,0.0,1,1.0,0.0,,1
361,Yevseyev,686.0,France,Male,30.0,2,0.0,2,1.0,0.0,,0
362,Zaytseva,714.0,France,Male,52.0,8,133097.68,1,0.0,0.0,100282.24,0
363,L?,755.0,Germany,Male,45.0,1,116308.01,1,1.0,0.0,75855.02,1
364,Nkemjika,576.0,France,Male,43.0,8,104030.3,1,1.0,0.0,78026.24,1
365,Ch'eng,539.0,Germany,Female,59.0,9,131554.94,1,1.0,1.0,168588.84,1
366,Chidozie,589.0,Spain,Male,29.0,8,0.0,2,1.0,0.0,,0
367,Bartlett,696.0,France,Male,41.0,8,0.0,2,1.0,0.0,75003.33,0
369,P'eng,597.0,Germany,Male,40.0,7,122258.86,2,1.0,1.0,142543.77,0
370,Ch'iu,468.0,Spain,Male,32.0,6,111007.79,2,1.0,0.0,93998.96,0
372,Ch'ang,594.0,France,Male,39.0,7,151292.11,1,1.0,1.0,148717.35,0
373,Yeh,491.0,Spain,Male,24.0,7,0.0,2,1.0,1.0,,0
374,Ch'ang,,Spain,Male,34.0,1,0.0,2,1.0,1.0,29330.97,0
375,T'ien,756.0,Spain,Male,41.0,9,0.0,2,1.0,1.0,94207.79,0
376,Pinto,643.0,Spain,Male,45.0,4,75296.81,1,0.0,0.0,,1
378,Jen,769.0,Spain,Female,37.0,7,0.0,2,1.0,1.0,7110.11,0
380,Nwankwo,825.0,France,Female,36.0,3,146122.57,1,0.0,1.0,138580.41,0
381,Liao,619.0,Spain,Female,36.0,8,0.0,2,1.0,0.0,89162.78,0
382,Macdonald,628.0,Spain,Male,48.0,8,0.0,2,1.0,1.0,181582.84,0
383,Ch'in,577.0,France,Male,28.0,1,69047.18,2,1.0,1.0,128743.92,0
386,Toscani,567.0,Spain,Male,31.0,5,0.0,2,0.0,0.0,72911.6,0
387,Artemiev,573.0,France,Female,37.0,6,0.0,2,1.0,0.0,193853.71,0
388,Maclean,692.0,France,Female,45.0,7,0.0,1,1.0,0.0,49638.92,0
389,Pugh,521.0,France,Female,34.0,8,0.0,2,1.0,0.0,139092.39,0
392,Mach,691.0,Germany,Male,45.0,9,170741.45,2,1.0,1.0,164608.18,0
393,Zetticci,662.0,France,Male,29.0,4,0.0,2,1.0,0.0,182603.77,0
394,Bolton,738.0,Spain,Male,34.0,8,79095.02,1,1.0,0.0,73774.72,0
395,Hs?eh,715.0,France,Male,35.0,9,0.0,2,1.0,0.0,74499.1,0
396,Cremonesi,693.0,Germany,Male,46.0,7,122967.31,2,1.0,0.0,140230.49,0
397,Milani,580.0,France,Female,33.0,7,136050.97,1,0.0,0.0,,1
399,Custance,,France,Male,43.0,9,112296.62,1,0.0,0.0,30452.02,0
400,Piazza,755.0,Spain,Female,41.0,5,119555.44,1,0.0,0.0,179894.38,0
401,Onyemachukwu,714.0,France,Female,44.0,6,0.0,2,0.0,1.0,93119.2,0
402,Okwudilichukwu,641.0,France,Female,34.0,4,0.0,1,1.0,0.0,88582.15,0
403,Brown,569.0,France,Male,66.0,9,0.0,1,1.0,1.0,130621.29,1
404,Uvarova,707.0,France,Male,39.0,1,139800.91,1,1.0,1.0,40442.56,0
405,Nwachukwu,748.0,France,Female,59.0,9,0.0,2,0.0,0.0,,1
406,Goliwe,705.0,Spain,Female,51.0,5,123935.05,1,1.0,1.0,104844.59,1
407,Teng,663.0,Spain,Male,38.0,2,0.0,2,1.0,1.0,113520.54,0
409,Hao,633.0,France,Female,49.0,0,136636.1,1,1.0,0.0,146600.95,1
411,Mazzanti,624.0,France,Female,24.0,7,0.0,2,1.0,0.0,121556.24,0
412,Pisani,637.0,Spain,Male,31.0,7,0.0,2,0.0,0.0,158730.92,0
413,Pirozzi,587.0,France,Male,41.0,4,0.0,1,1.0,0.0,90403.16,0
415,Ibezimako,679.0,France,Female,29.0,7,0.0,2,1.0,1.0,121410.65,0
416,Chiemeka,632.0,Germany,Male,45.0,4,124850.02,2,1.0,0.0,187535.8,0
417,Y?an,597.0,France,Male,38.0,6,0.0,1,1.0,0.0,115746.38,0
420,Hsia,544.0,Spain,Male,39.0,9,0.0,2,1.0,1.0,91191.37,0
423,Hsiung,590.0,France,Female,32.0,5,0.0,2,1.0,1.0,78404.35,0
425,Trevisani,713.0,Germany,Male,30.0,0,143200.98,2,1.0,1.0,132403.2,0
426,Onwuatuegwu,589.0,France,Female,38.0,2,0.0,2,0.0,0.0,,0
427,Ts'ao,611.0,France,Male,39.0,5,0.0,2,0.0,0.0,70815.38,0
431,Martin,547.0,Germany,Male,35.0,7,92591.21,2,1.0,1.0,56634.99,0
433,Baryshnikov,605.0,Germany,Female,48.0,9,112509.09,2,1.0,0.0,55757.48,1
434,Chiedozie,571.0,Germany,Female,50.0,7,130555.34,1,1.0,0.0,59130.48,1
437,Hsia,576.0,France,Male,31.0,9,110973.98,1,0.0,1.0,196600.27,0
439,Chukwudi,633.0,France,Male,40.0,9,0.0,2,0.0,1.0,10420.27,0
440,Yashina,669.0,Spain,Male,37.0,7,0.0,2,1.0,1.0,714.62,0
441,Loftus,,Germany,Male,45.0,9,162350.15,1,1.0,0.0,174408.56,0
442,Nnanna,683.0,Spain,Female,36.0,9,0.0,1,1.0,1.0,147964.16,0
444,Uvarov,751.0,France,Male,32.0,7,0.0,2,0.0,1.0,171966.19,0
446,Kornilova,705.0,France,Male,34.0,6,110746.45,1,1.0,0.0,,0
448,Hao,577.0,France,Female,29.0,8,0.0,2,1.0,1.0,91337.32,0
449,Arbour,577.0,Spain,Male,51.0,2,108706.84,1,0.0,0.0,140705.27,0
452,Hs?eh,679.0,Spain,Female,33.0,7,0.0,1,0.0,1.0,73379.77,0
454,Munro,629.0,Spain,Male,50.0,6,0.0,1,0.0,0.0,164422.02,0
455,Calabrese,751.0,France,Female,28.0,8,0.0,2,1.0,0.0,66933.42,0
456,Ch'in,641.0,Germany,Female,43.0,7,104248.19,2,1.0,0.0,178070.76,0
